Timestamp,Temperature,Humidity,Light_Lux,Rain_AO,Soil_AO,UV_Voltage
2026-06-17 03:45:30,25.0,40.7,22.5,2983,4095,0.94
2026-06-17 03:45:44,25.0,40.8,22.5,2303,4095,1.03
2026-06-17 03:45:58,25.0,40.9,22.5,0,4095,0.89
2026-06-17 03:46:39,25.0,41.0,22.5,0,4095,0.9
2026-06-17 03:46:53,25.0,41.1,22.5,4095,4095,1.13
2026-06-17 03:47:07,25.0,41.0,22.5,4095,4095,1.24
2026-06-17 03:47:47,25.0,40.9,22.5,1870,4095,1.03
2026-06-17 03:53:18,25.0,41.0,22.5,0,4095,0.82
2026-06-17 03:53:59,25.0,41.0,22.5,4095,4095,1.17
2026-06-17 03:54:13,25.0,41.0,22.5,4095,4095,1.16
2026-06-17 03:54:27,25.0,41.2,22.5,4095,4095,0.97
2026-06-17 03:55:07,25.0,41.4,22.5,0,4095,0.89
2026-06-17 03:55:21,25.0,41.4,22.5,4095,4095,0.97
2026-06-17 03:55:35,25.0,41.4,22.5,4095,4095,1.15
2026-06-17 03:55:49,24.9,41.4,21.67,2280,4095,0.94
2026-06-17 03:56:12,24.9,41.4,22.5,0,4095,0.87
2026-06-17 04:01:18,25.0,42.3,22.5,4095,4095,0.95
2026-06-17 04:01:33,25.0,42.2,22.5,2533,4095,1.04
2026-06-17 04:01:47,24.9,42.1,22.5,0,4095,0.94
2026-06-17 04:02:01,25.0,42.1,22.5,0,4095,0.97
2026-06-17 04:02:37,25.0,42.2,22.5,484,4095,0.92
2026-06-17 04:02:41,25.0,42.1,22.5,0,4095,0.94
2026-06-17 04:02:56,25.0,42.0,22.5,186,4095,0.92
2026-06-17 04:03:09,25.0,42.2,22.5,4095,4095,1.29
2026-06-17 04:03:50,25.0,42.0,22.5,4095,4095,0.95
2026-06-17 04:04:04,24.9,41.9,22.5,1541,4095,0.93
2026-06-17 04:04:18,25.0,41.9,20.83,4095,4095,0.97
2026-06-17 04:04:58,24.9,41.7,21.67,0,4095,0.96
2026-06-17 04:05:12,24.9,41.7,21.67,0,4095,0.82
2026-06-17 04:05:27,24.9,41.7,22.5,4095,4095,1.31
2026-06-17 04:05:41,24.9,41.7,5.0,4095,4095,1.12
2026-06-17 04:08:12,24.9,41.6,4.17,0,4095,0.89
2026-06-17 04:08:38,25.0,41.8,105.0,4095,4095,0.99
2026-06-17 04:08:53,25.0,41.8,5.83,1605,4095,0.99
